                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2181,                  2.022,                 2.6094,                 1.0475,                0.72483,                0.87851,                0.89247,                 0.7128,                0.72483,                0.87851,                0.89247,                0.66242,                0.72335,                 1.1474,                 1.8126,                0.92618,                 0.0739,                 0.0029,                 0.0029
                      1,                0.94921,                  1.574,                 1.2808,                0.93989,                0.86298,                0.90476,                0.88504,                 0.7143,                0.86298,                0.90476,                0.89153,                0.62879,                0.70741,                 1.0769,                0.71495,                 0.8773,               0.046842,              0.0058416,              0.0058416
                      2,                 0.9694,                 1.4637,                 1.2342,                0.93057,                0.75649,                 0.7619,                0.79523,                0.48819,                0.75649,                 0.7619,                0.79523,                0.46993,                 1.0307,                 1.3576,                 2.5566,                0.94758,               0.019724,              0.0087238,              0.0087238
                      3,                 1.0577,                 1.4689,                  1.501,                0.96752,                0.71493,                0.80952,                0.81859,                0.60565,                0.71493,                0.80952,                0.82604,                 0.5566,                0.84932,                 1.5716,                 2.6612,                0.88654,               0.009703,               0.009703,               0.009703
                      4,                 1.0595,                  1.458,                 1.0266,                0.95896,                0.80507,                0.71429,                0.77649,                0.53503,                0.82602,                0.71429,                0.78281,                0.53286,                 1.1217,                 1.7171,                  1.255,                 1.0221,               0.009703,               0.009703,               0.009703
                      5,                 1.0133,                 1.4662,                 1.0729,                0.94353,                0.86485,                0.71429,                0.78179,                0.58743,                0.86485,                0.71429,                0.78179,                0.52873,                0.89684,                  1.365,                 1.9321,                0.94079,               0.009604,               0.009604,               0.009604
                      6,                0.97684,                 1.4011,                 0.9132,                0.92455,                0.87235,                0.65152,                0.81248,                0.58932,                0.87235,                0.65152,                0.81248,                0.56216,                 1.0149,                 1.8194,                 0.9253,                 1.0162,               0.009505,               0.009505,               0.009505
                      7,                0.99723,                 1.4905,                0.80815,                0.94595,                0.68004,                 0.7619,                0.78275,                0.62095,                0.68004,                 0.7619,                0.78275,                0.56493,                0.91035,                 1.4894,                0.97671,                0.93277,               0.009406,               0.009406,               0.009406
                      8,                0.99812,                 1.3469,                0.79276,                0.94417,                0.74067,                0.81625,                0.76845,                0.56763,                0.74067,                0.81625,                0.76845,                0.52258,                 0.9111,                 1.3525,                 1.0515,                0.93636,               0.009307,               0.009307,               0.009307
                      9,                0.93497,                 1.3235,                0.75367,                0.92613,                0.89986,                0.85586,                 0.8684,                0.69878,                0.89986,                0.85586,                 0.8684,                0.64477,                0.86401,                 1.3696,                0.97713,                 0.9477,               0.009208,               0.009208,               0.009208
                     10,                0.94993,                 1.2825,                0.71442,                0.92916,                0.82379,                0.89095,                0.85347,                0.62229,                0.82379,                0.89095,                0.85347,                 0.6141,                0.95194,                 1.4511,                0.97276,                0.97294,               0.009109,               0.009109,               0.009109
                     11,                0.92629,                 1.2443,                0.71563,                0.92286,                 0.8532,                0.83088,                0.84365,                 0.6585,                 0.8532,                0.83088,                0.84365,                0.63634,                0.93851,                 1.6045,                 1.0825,                0.99031,                0.00901,                0.00901,                0.00901
                     12,                0.88888,                 1.3023,                0.68955,                0.91011,                0.75654,                0.88827,                 0.8153,                  0.581,                0.75654,                0.88827,                 0.8153,                0.53415,                 1.0759,                 1.5282,                 1.0864,                 1.0325,               0.008911,               0.008911,               0.008911
                     13,                0.92186,                 1.2462,                 0.7103,                0.90469,                0.56631,                0.85714,                 0.7521,                0.54512,                0.56631,                0.85714,                0.74064,                0.49033,                 1.0912,                  1.666,                 1.1137,                 1.0533,               0.008812,               0.008812,               0.008812
                     14,                0.90664,                 1.2552,                0.68492,                0.90727,                0.95136,                0.57143,                0.79598,                0.60101,                0.95136,                0.57143,                0.79598,                0.53936,                 0.9369,                 1.5885,                 1.0436,                0.97576,               0.008713,               0.008713,               0.008713
                     15,                0.87807,                 1.1904,                0.64114,                0.89881,                0.84097,                0.75576,                0.82914,                0.63342,                0.84097,                0.75576,                0.82914,                0.57878,                0.92967,                 1.9743,                0.90196,                  1.017,               0.008614,               0.008614,               0.008614
                     16,                 0.8565,                 1.1839,                0.64931,                0.90349,                0.62332,                0.80952,                 0.7659,                 0.5831,                0.62332,                0.80952,                 0.7659,                0.52927,                0.93876,                 1.7693,                 1.0001,                 1.0293,               0.008515,               0.008515,               0.008515
                     17,                0.86404,                 1.2147,                0.66074,                0.89711,                0.69328,                0.75374,                   0.72,                0.56636,                0.73685,                0.80035,                 0.7655,                0.55978,                0.92824,                 1.3791,                 1.1187,                0.96045,               0.008416,               0.008416,               0.008416
                     18,                0.87046,                 1.2212,                0.63143,                0.89574,                0.76343,                0.66667,                0.76459,                0.59304,                0.81846,                0.71429,                0.80456,                0.60008,                0.97547,                 1.3263,                 1.1937,                0.98066,               0.008317,               0.008317,               0.008317
                     19,                0.86275,                 1.1615,                0.63512,                0.89382,                0.76684,                0.71429,                0.78841,                0.61649,                0.76684,                0.71429,                0.76624,                0.56961,                  0.846,                 1.1734,                0.92148,                0.93251,               0.008218,               0.008218,               0.008218
                     20,                0.86505,                 1.1352,                0.64426,                0.88424,                0.82826,                0.68963,                0.81101,                0.63028,                0.82826,                0.68963,                0.81101,                 0.6013,                0.81207,                 1.3851,                 1.0091,                0.94401,               0.008119,               0.008119,               0.008119
                     21,                0.82179,                 1.1026,                0.60044,                0.88499,                0.64342,                0.80952,                0.77796,                0.63854,                0.64342,                0.80952,                0.77796,                0.60657,                0.75159,                 1.2453,                0.85013,                0.91597,                0.00802,                0.00802,                0.00802
                     22,                0.83592,                 1.1185,                0.60989,                0.88974,                0.87435,                0.66298,                0.77778,                0.66936,                0.87435,                0.66298,                0.77953,                0.62307,                0.71884,                 1.2451,                0.93125,                 0.9049,               0.007921,               0.007921,               0.007921
                     23,                0.79734,                 1.1542,                0.58635,                 0.8848,                0.82486,                0.89738,                0.82634,                0.63564,                0.82486,                0.89738,                0.82634,                0.58241,                0.93546,                 1.2548,                0.85227,                0.94184,               0.007822,               0.007822,               0.007822
                     24,                0.80077,                 1.0697,                 0.5774,                0.88273,                0.85639,                 0.7619,                0.83815,                0.65517,                0.85639,                 0.7619,                0.83815,                0.63316,                0.86794,                 1.2275,                0.92666,                0.92482,               0.007723,               0.007723,               0.007723
                     25,                0.78438,                 1.1492,                 0.5704,                0.87709,                0.84034,                0.85714,                0.80864,                0.66531,                0.84034,                0.85714,                0.80864,                0.61723,                0.78759,                   1.14,                0.80551,                0.91713,               0.007624,               0.007624,               0.007624
                     26,                0.77822,                 1.0946,                0.55227,                0.87317,                0.80217,                0.71429,                0.75667,                0.59094,                0.80217,                0.71429,                0.75667,                0.55271,                0.83145,                 1.3634,                 1.0448,                0.92735,               0.007525,               0.007525,               0.007525
                     27,                0.78956,                  1.103,                0.56164,                0.87409,                0.88477,                 0.7619,                0.82986,                0.61034,                0.88477,                 0.7619,                0.82986,                0.59487,                0.76828,                 1.5355,                0.82413,                0.91463,               0.007426,               0.007426,               0.007426
                     28,                0.76604,                 1.1269,                0.56798,                0.86661,                0.81438,                0.71429,                0.78825,                 0.6239,                0.81438,                0.71429,                0.78825,                0.56717,                0.86378,                 1.7456,                 1.1458,                0.94038,               0.007327,               0.007327,               0.007327
                     29,                0.77042,                  1.093,                 0.5584,                0.87246,                0.71522,                 0.7177,                 0.7871,                0.65463,                0.71522,                 0.7177,                 0.7871,                0.56019,                0.78533,                 1.3426,                0.97004,                0.91467,               0.007228,               0.007228,               0.007228
                     30,                0.74173,                 1.0413,                0.53106,                0.86504,                0.60996,                0.85714,                0.74801,                0.62231,                0.60996,                0.85714,                0.74801,                0.58355,                0.76783,                 1.2579,                0.97853,                0.90586,               0.007129,               0.007129,               0.007129
                     31,                0.75559,                 1.0452,                0.53179,                0.87319,                0.78178,                 0.7619,                0.78076,                0.64661,                0.78178,                 0.7619,                0.78076,                0.60906,                0.77371,                 1.2341,                 1.0309,                0.92582,                0.00703,                0.00703,                0.00703
                     32,                0.74105,                0.98262,                0.53103,                0.86164,                0.79336,                0.80952,                0.80157,                0.66883,                0.79336,                0.80952,                0.80157,                 0.6126,                 0.7914,                  1.288,                0.94352,                0.91963,               0.006931,               0.006931,               0.006931
                     33,                  0.724,                  1.064,                0.50248,                0.86254,                0.70395,                0.71429,                0.75376,                0.66059,                0.70395,                0.71429,                0.75376,                0.58585,                0.69541,                 1.3927,                 1.0253,                0.91059,               0.006832,               0.006832,               0.006832
                     34,                0.72924,                 1.0572,                 0.5258,                0.86462,                0.94072,                  0.756,                0.84322,                0.69485,                0.94072,                  0.756,                0.84322,                0.63436,                 0.7665,                 1.2477,                0.76614,                 0.8961,               0.006733,               0.006733,               0.006733
                     35,                0.75393,                 1.0772,                0.52474,                0.87115,                0.84145,                 0.7619,                0.81992,                0.68133,                0.84145,                 0.7619,                0.81992,                0.60312,                0.77062,                 1.3854,                0.78695,                0.91436,               0.006634,               0.006634,               0.006634
                     36,                 0.7231,                 1.0357,                 0.5027,                0.85843,                0.80874,                0.66667,                0.78286,                0.63797,                0.80874,                0.66667,                0.78286,                0.59168,                0.84003,                 1.4882,                0.96473,                0.94395,               0.006535,               0.006535,               0.006535
                     37,                0.69901,                0.98272,                0.49756,                0.85619,                 0.8809,                 0.7619,                0.84418,                0.71904,                 0.8809,                 0.7619,                0.84418,                0.65581,                0.75876,                 1.2254,                0.88637,                0.90634,               0.006436,               0.006436,               0.006436
                     38,                0.71043,                0.99222,                 0.4963,                0.85421,                0.89342,                0.79884,                 0.8567,                0.70914,                0.89342,                0.79884,                 0.8567,                0.67024,                0.70951,                 1.1472,                0.68087,                0.89881,               0.006337,               0.006337,               0.006337
                     39,                0.69824,                 1.0126,                0.48914,                0.84698,                0.84771,                0.79571,                0.85167,                0.70691,                0.84771,                0.79571,                0.85167,                0.68214,                0.85065,                 1.2387,                0.82711,                0.94123,               0.006238,               0.006238,               0.006238
                     40,                0.69293,                0.96361,                0.48942,                0.84632,                0.70025,                0.90476,                0.82812,                0.66413,                0.70025,                0.90476,                0.82812,                0.65925,                0.76541,                 1.2567,                0.85306,                0.91089,               0.006139,               0.006139,               0.006139
                     41,                0.69185,                 0.9498,                0.48595,                 0.8453,                0.84633,                0.66667,                 0.8029,                0.65858,                0.84633,                0.66667,                 0.8029,                0.60496,                0.74032,                 1.3653,                0.91306,                0.88638,                0.00604,                0.00604,                0.00604
                     42,                0.68476,                0.96173,                0.48814,                0.85303,                0.67994,                0.80932,                0.78827,                0.64019,                0.67994,                0.80932,                0.78827,                0.58804,                0.73606,                  1.387,                0.88808,                0.90776,               0.005941,               0.005941,               0.005941
                     43,                0.67939,                0.93568,                0.46879,                0.84875,                0.73282,                0.80952,                0.77701,                0.64515,                0.73282,                0.80952,                0.77701,                0.58528,                0.82378,                 1.3166,                0.91585,                0.91965,               0.005842,               0.005842,               0.005842
                     44,                0.68312,                0.97126,                0.47257,                0.85233,                0.78908,                 0.7619,                0.81317,                 0.6713,                0.78908,                 0.7619,                0.81317,                0.61416,                0.80134,                 1.4167,                0.90038,                0.94103,               0.005743,               0.005743,               0.005743
                     45,                0.66592,                0.91894,                0.45193,                0.84143,                0.78967,                 0.7619,                0.80198,                0.65169,                0.78967,                 0.7619,                0.80198,                0.63662,                0.81923,                 1.3066,                0.99699,                0.94094,               0.005644,               0.005644,               0.005644
                     46,                0.64898,                0.94947,                0.45101,                0.84109,                0.83522,                0.80952,                0.88351,                0.70553,                0.83522,                0.80952,                0.88351,                0.67126,                0.74644,                 1.2167,                0.74724,                0.90562,               0.005545,               0.005545,               0.005545
                     47,                0.67738,                0.89668,                0.46771,                0.85049,                0.74821,                0.80952,                 0.8537,                0.63259,                0.74821,                0.80952,                 0.8537,                0.62554,                0.88952,                 1.2925,                 0.8729,                0.93796,               0.005446,               0.005446,               0.005446
                     48,                0.64587,                0.87839,                 0.4466,                0.84032,                0.74706,                0.90476,                0.88605,                 0.6657,                0.74706,                0.90476,                0.88605,                0.64336,                0.83919,                 1.2906,                0.74162,                0.91641,               0.005347,               0.005347,               0.005347
                     49,                0.62798,                 0.9075,                0.43928,                0.83736,                0.85825,                0.66667,                0.83837,                0.68144,                0.85825,                0.66667,                0.82464,                0.65951,                0.73407,                 1.1983,                0.85448,                0.90102,               0.005248,               0.005248,               0.005248
                     50,                0.62925,                 0.8678,                0.43746,                0.83759,                 0.8887,                 0.7605,                0.84803,                0.70997,                 0.8887,                 0.7605,                0.84803,                 0.6696,                0.79811,                 1.2153,                 1.0077,                 0.9008,               0.005149,               0.005149,               0.005149
                     51,                0.64462,                0.92398,                0.43684,                 0.8403,                0.88014,                0.69993,                0.82702,                0.68841,                0.88014,                0.69993,                0.82702,                0.65952,                0.73006,                 1.2851,                  1.016,                0.90816,                0.00505,                0.00505,                0.00505
                     52,                0.63873,                0.85043,                0.43641,                0.83273,                 0.7507,                 0.7619,                0.82389,                0.70743,                 0.7507,                 0.7619,                0.82389,                 0.6601,                0.74464,                 1.1966,                0.94613,                0.89771,               0.004951,               0.004951,               0.004951
                     53,                0.60847,                0.87309,                0.42482,                0.83092,                0.58185,                0.85714,                0.79077,                0.68458,                0.58185,                0.85714,                0.79077,                0.65023,                0.78441,                 1.2018,                  1.118,                0.93563,               0.004852,               0.004852,               0.004852
                     54,                0.61107,                0.82027,                0.42989,                0.83593,                 0.6886,                0.84279,                0.80493,                0.67295,                 0.6886,                0.84279,                0.80493,                0.65709,                0.75049,                 1.2691,                0.84802,                0.94321,               0.004753,               0.004753,               0.004753
                     55,                0.62114,                0.85191,                0.41854,                0.83176,                0.71004,                0.85714,                0.81211,                0.66422,                0.71004,                0.85714,                0.81211,                0.63866,                0.71774,                 1.2221,                0.78712,                0.90743,               0.004654,               0.004654,               0.004654
                     56,                0.61261,                0.86095,                0.41689,                0.82866,                0.75089,                0.71429,                0.80724,                0.67061,                0.75089,                0.71429,                0.80724,                 0.6373,                0.78359,                 1.3187,                0.96704,                0.92091,               0.004555,               0.004555,               0.004555
                     57,                 0.5956,                0.86326,                0.41351,                0.83467,                 0.8464,                0.78783,                0.82306,                0.69874,                 0.8464,                0.78783,                0.82306,                0.61829,                0.67723,                 1.3899,                 0.8289,                0.89907,               0.004456,               0.004456,               0.004456
                     58,                0.59894,                0.82268,                0.41908,                0.82823,                0.83576,                0.72747,                0.83109,                0.71868,                0.83576,                0.72747,                0.83109,                0.65418,                0.69172,                 1.3169,                0.82262,                0.87439,               0.004357,               0.004357,               0.004357
                     59,                0.58134,                0.78133,                0.40534,                 0.8252,                 0.7163,                0.84206,                0.81664,                0.69138,                 0.7163,                0.84206,                0.81664,                0.62287,                0.67727,                 1.3731,                0.92184,                0.88568,               0.004258,               0.004258,               0.004258
                     60,                0.60523,                 0.8638,                0.41164,                 0.8268,                0.85271,                0.61905,                0.77314,                0.66073,                0.85271,                0.61905,                0.77314,                0.58449,                0.67538,                  1.273,                0.93903,                0.88386,               0.004159,               0.004159,               0.004159
                     61,                0.59339,                0.89448,                0.40428,                0.83002,                0.92705,                0.60584,                0.76959,                0.66592,                0.92705,                0.60584,                0.76959,                 0.6316,                0.63328,                 1.3646,                0.90687,                0.88669,                0.00406,                0.00406,                0.00406
                     62,                0.57952,                0.84122,                0.39151,                0.83315,                0.92088,                0.61905,                0.79248,                0.68922,                0.92088,                0.61905,                0.79248,                0.63674,                0.61451,                 1.1829,                0.97266,                0.88971,               0.003961,               0.003961,               0.003961
                     63,                0.58384,                0.83126,                0.39744,                0.82349,                0.67377,                0.90476,                0.81277,                0.67502,                0.67377,                0.90476,                0.81277,                0.64513,                0.66612,                 1.1959,                0.86032,                0.88096,               0.003862,               0.003862,               0.003862
                     64,                0.57674,                0.79459,                0.39078,                0.82498,                0.67242,                0.90476,                0.81607,                0.66734,                0.67242,                0.90476,                0.81607,                0.64895,                0.69752,                 1.1975,                0.83315,                0.87715,               0.003763,               0.003763,               0.003763
                     65,                0.56296,                 0.7944,                 0.3886,                0.82142,                0.70833,                0.85714,                 0.8083,                0.67937,                0.70833,                0.85714,                 0.8083,                0.65131,                0.68746,                 1.2141,                0.88536,                0.87544,               0.003664,               0.003664,               0.003664
                     66,                 0.5647,                0.78242,                0.38927,                0.81801,                0.68499,                0.85714,                0.79983,                0.66334,                0.68499,                0.85714,                0.79983,                0.58548,                0.80862,                 1.4344,                0.93136,                0.90501,               0.003565,               0.003565,               0.003565
                     67,                0.56831,                0.82469,                 0.3864,                0.82653,                 0.6155,                0.80952,                0.76759,                0.66554,                 0.6155,                0.80952,                0.76759,                0.58644,                0.74111,                 1.3811,                0.99704,                0.89813,               0.003466,               0.003466,               0.003466
                     68,                0.55229,                0.76623,                0.37475,                 0.8193,                0.67378,                0.90476,                0.80079,                0.65597,                0.67378,                0.90476,                0.80079,                 0.6107,                0.75547,                 1.4005,                0.81971,                0.91529,               0.003367,               0.003367,               0.003367
                     69,                0.55974,                0.79044,                0.38072,                0.82317,                0.70323,                0.71429,                0.79171,                0.66204,                0.70323,                0.71429,                0.79171,                0.63389,                0.67311,                 1.2102,                 1.0126,                0.88286,               0.003268,               0.003268,               0.003268
                     70,                0.54327,                0.77556,                0.37003,                 0.8158,                0.64191,                0.85372,                0.78762,                0.66987,                0.64191,                0.85372,                0.78762,                0.61332,                0.70139,                 1.2949,                0.95045,                0.89606,               0.003169,               0.003169,               0.003169
                     71,                0.54086,                0.76677,                0.37119,                0.81958,                0.79204,                0.61905,                0.75551,                0.66412,                0.79204,                0.61905,                0.75551,                0.59338,                0.72097,                 1.3371,                  1.103,                0.89011,                0.00307,                0.00307,                0.00307
                     72,                0.52994,                0.75916,                0.36856,                0.81732,                0.79334,                0.57143,                0.72182,                0.64359,                0.79334,                0.57143,                0.72182,                0.57005,                0.67459,                 1.3444,                 1.1027,                0.87593,               0.002971,               0.002971,               0.002971
                     73,                0.53234,                0.74989,                 0.3652,                0.81686,                0.54668,                0.71429,                0.70872,                0.61645,                0.60609,                 0.6597,                0.69683,                0.56665,                0.65022,                 1.2849,                 1.0892,                0.88832,               0.002872,               0.002872,               0.002872
                     74,                0.52414,                0.73849,                0.35998,                0.81395,                0.60214,                0.80952,                0.76008,                 0.6428,                0.60214,                0.80952,                0.76008,                0.58956,                0.66264,                 1.2763,                 0.9504,                0.87608,               0.002773,               0.002773,               0.002773
                     75,                0.52041,                0.75363,                0.36225,                 0.8117,                0.78563,                0.71429,                0.80682,                 0.6949,                0.78563,                0.71429,                0.80682,                0.64109,                0.72799,                   1.29,                0.84702,                 0.9018,               0.002674,               0.002674,               0.002674
                     76,                0.50663,                0.74633,                0.35114,                0.80822,                0.65647,                0.85714,                0.81885,                0.70864,                0.65647,                0.85714,                0.81885,                 0.6607,                0.71521,                 1.3385,                0.81464,                0.91001,               0.002575,               0.002575,               0.002575
                     77,                0.50578,                0.73101,                0.34417,                0.80759,                0.69367,                 0.7619,                0.80068,                0.67701,                0.69367,                 0.7619,                0.80068,                0.63108,                0.68678,                 1.2329,                0.95222,                0.89132,               0.002476,               0.002476,               0.002476
                     78,                 0.5129,                0.77873,                0.34406,                0.81051,                0.71918,                 0.8538,                0.83187,                0.70503,                0.71918,                 0.8538,                0.83187,                0.64446,                0.66843,                 1.2728,                0.75784,                 0.8712,               0.002377,               0.002377,               0.002377
                     79,                0.51337,                0.71071,                0.34535,                0.81823,                0.71042,                0.85714,                0.82907,                0.71493,                0.71042,                0.85714,                0.82907,                0.66323,                0.75703,                 1.2827,                0.87933,                0.90621,               0.002278,               0.002278,               0.002278
                     80,                0.50585,                  0.721,                0.34475,                 0.8163,                0.66366,                0.84598,                0.77463,                0.67275,                0.66366,                0.84598,                0.77463,                0.63083,                 0.6783,                 1.1825,                 1.0229,                0.88165,               0.002179,               0.002179,               0.002179
                     81,                0.49745,                0.72028,                0.33564,                 0.8057,                0.61736,                0.80952,                0.74817,                0.64152,                0.61736,                0.80952,                0.74817,                0.61433,                  0.689,                 1.2989,                 1.0594,                0.87453,                0.00208,                0.00208,                0.00208
                     82,                0.49602,                0.74836,                0.33915,                 0.8084,                0.62808,                0.80435,                0.77591,                0.68497,                0.62808,                0.80435,                0.77591,                0.61893,                0.65983,                 1.2352,                0.91667,                0.86814,               0.001981,               0.001981,               0.001981
                     83,                0.49483,                0.70717,                0.33546,                0.80551,                0.66076,                0.85714,                 0.7831,                 0.6867,                0.66076,                0.85714,                 0.7831,                0.62597,                 0.6604,                 1.2553,                0.86744,                0.86351,               0.001882,               0.001882,               0.001882
                     84,                0.48319,                0.70999,                0.32417,                0.80819,                0.71333,                 0.7111,                0.79693,                0.69851,                0.71333,                 0.7111,                0.79693,                0.64832,                0.62596,                 1.1843,                 0.9494,                0.86262,               0.001783,               0.001783,               0.001783
                     85,                 0.4824,                0.66945,                0.32961,                0.80485,                0.72908,                0.71429,                0.81103,                0.70518,                0.72908,                0.71429,                0.81103,                0.65172,                0.64186,                 1.3187,                0.79869,                0.85515,               0.001684,               0.001684,               0.001684
                     86,                0.49172,                0.71714,                0.33283,                0.81133,                0.80337,                0.71429,                 0.8058,                0.68558,                0.80337,                0.71429,                 0.8058,                0.64289,                0.69001,                 1.3438,                0.82063,                0.85965,               0.001585,               0.001585,               0.001585
                     87,                0.47939,                0.68954,                 0.3277,                0.80801,                 0.7551,                 0.7619,                 0.7947,                0.67551,                 0.7551,                 0.7619,                 0.7947,                0.63697,                 0.6795,                 1.3696,                0.82956,                0.86393,               0.001486,               0.001486,               0.001486
                     88,                0.46536,                0.68527,                0.32289,                0.80593,                0.72323,                 0.7619,                0.80289,                0.68119,                0.72323,                 0.7619,                0.80289,                 0.6412,                0.68048,                 1.3673,                0.84571,                 0.8736,               0.001387,               0.001387,               0.001387
                     89,                0.45602,                0.68321,                0.31465,                0.80441,                 0.8244,                0.71429,                0.82795,                0.70057,                 0.8244,                0.71429,                0.82795,                0.66052,                 0.7359,                 1.3338,                0.82486,                0.88553,               0.001288,               0.001288,               0.001288
